,Unnamed: 0,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Tên xe,Giá xe,Nhãn hiệu,Mẫu xe,Nhiên liệu,Dung tích
4482,5901,2015,Xe đã dùng,11000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Cát,Cát,5,4,FWD - Dẫn động cầu trước,Chevrolet Aveo LT 1.5 MT ,138000000,Chevrolet,Aveo LT 1.5 MT ,Xăng,1.5
4483,5902,2023,Xe đã dùng,10000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.0Q ,1189000000,Toyota,Camry 2.0Q ,Xăng,2.0
4484,5903,2021,Xe đã dùng,115000,Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Đen,Đen,7,5,4WD - Dẫn động 4 bánh,Ford Everest Titanium 2.0L 4x4 AT ,969000000,Ford,Everest Titanium 2.0L 4x4 AT ,Dầu,2.0
4485,5904,2021,Xe đã dùng,30000,Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Đỏ,Đỏ,5,5,FWD - Dẫn động cầu trước,Toyota Corolla Cross 1.8G ,695000000,Toyota,Corolla Cross 1.8G ,Xăng,1.8
4486,5905,2014,Xe đã dùng,110000,Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Đen,Đen,7,5,4WD - Dẫn động 4 bánh,Toyota Prado TXL 2.7L ,1095000000,Toyota,Prado TXL 2.7L ,Xăng,2.7
4487,5906,2015,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Nissan Sunny 1.5MT ,168000000,Nissan,Sunny 1.5MT ,Xăng,1.5
4488,5911,2016,Xe đã dùng,78000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 ,699000000,Mercedes,Benz C class C200 ,Xăng,2.0
4489,5912,2014,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.7V 4x2 AT ,445000000,Toyota,Fortuner 2.7V 4x2 AT ,Xăng,2.7
4490,5913,2016,Xe đã dùng,60000,Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Ford EcoSport Titanium 1.5L AT ,330000000,Ford,EcoSport Titanium 1.5L AT ,Xăng,1.5
4491,5914,2015,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner TRD Sportivo 4x2 AT ,495000000,Toyota,Fortuner TRD Sportivo 4x2 AT ,Xăng,2.7
4492,5916,2010,Xe đã dùng,10868,Nhập khẩu,Hatchback,Số tự động,Xăng 1.6 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda 3 1.6 AT ,268000000,Mazda,3 1.6 AT ,Xăng,1.6
4493,5917,2015,Xe đã dùng,55000,Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Ford EcoSport Titanium 1.5L AT ,345000000,Ford,EcoSport Titanium 1.5L AT ,Xăng,1.5
4494,5918,2019,Xe đã dùng,60000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda Jazz RS ,415000000,Honda,Jazz RS ,Xăng,1.5
4495,5919,2009,Xe đã dùng,90000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 3.0 L,Ghi,Ghi,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E300 ,420000000,Mercedes,Benz E class E300 ,Xăng,3.0
4496,5920,2016,Xe đã dùng,48000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E200 ,899000000,Mercedes,Benz E class E200 ,Xăng,2.0
4497,5921,2015,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Đen,Đen,7,5,4WD - Dẫn động 4 bánh,Hyundai SantaFe 2.4L 4WD ,580000000,Hyundai,SantaFe 2.4L 4WD ,Xăng,2.4
4498,5922,2021,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 Premium 2.0 AT ,775000000,Mazda,CX5 Premium 2.0 AT ,Xăng,2.0
4499,5923,2017,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,5,5,AWD - 4 bánh toàn thời gian,Mazda CX5 2.5 AT AWD ,559000000,Mazda,CX5 2.5 AT AWD ,Xăng,2.5
4500,5924,2019,Xe đã dùng,12000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.25 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai i10 Grand 1.2 MT Base ,260000000,Hyundai,i10 Grand 1.2 MT Base ,Xăng,1.25
4501,5925,2017,Xe đã dùng,86000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.6 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Chevrolet Cruze LT 1.6L ,290000000,Chevrolet,Cruze LT 1.6L ,Xăng,1.6
4502,5927,2022,Xe đã dùng,8600,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Nâu,Nâu,5,4,RFD - Dẫn động cầu sau,VinFast Lux A 2.0 Tiêu chuẩn ,630000000,VinFast,Lux A 2.0 Tiêu chuẩn ,Xăng,2.0
4503,5930,2014,Xe đã dùng,60000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Chevrolet Cruze LTZ 1.8 AT ,245000000,Chevrolet,Cruze LTZ 1.8 AT ,Xăng,1.8
4504,5931,2023,Xe đã dùng,7000,Lắp ráp trong nước,Van/Minivan,Số tự động,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Hyundai Custin Đặc Biệt 1.5T ,915000000,Hyundai,Custin Đặc Biệt 1.5T ,Xăng,1.5
4505,5932,2018,Xe đã dùng,68570,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Kia Cerato 1.6 AT ,445000000,Kia,Cerato 1.6 AT ,Xăng,1.6
4506,5933,2018,Xe đã dùng,65480,Lắp ráp trong nước,Crossover,Số tay,Xăng 2.0 L,Nâu,Nâu,8,5,RFD - Dẫn động cầu sau,Toyota Innova 2.0E ,445000000,Toyota,Innova 2.0E ,Xăng,2.0
4507,5934,2018,Xe đã dùng,57634,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Hyundai Elantra 2.0 AT ,440000000,Hyundai,Elantra 2.0 AT ,Xăng,2.0
