,Unnamed: 0,Năm sản xuất,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Động cơ,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Tên xe,Giá xe,Nhãn hiệu,Mẫu xe,Nhiên liệu,Dung tích
1200,1551,2010,Xe đã dùng,90000,Nhập khẩu,SUV,Số tự động,Xăng 3.0 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,BMW X6 xDrive35i ,585000000,BMW,X6 xDrive35i ,Xăng,3.0
1201,1554,2021,Xe đã dùng,29000,Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Toyota Corolla Cross 1.8V ,788000000,Toyota,Corolla Cross 1.8V ,Xăng,1.8
1202,1557,2015,Xe đã dùng,0,Lắp ráp trong nước,Hatchback,Số tự động,Xăng 1.4 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Suzuki Swift 1.4 AT ,305000000,Suzuki,Swift 1.4 AT ,Xăng,1.4
1203,1558,2015,Xe đã dùng,0,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.7V 4x2 AT ,520000000,Toyota,Fortuner 2.7V 4x2 AT ,Xăng,2.7
1204,1559,2015,Xe đã dùng,91000,Nhập khẩu,Van/Minivan,Số tay,Xăng 2.4 L,Ghi,Ghi,6,4,RFD - Dẫn động cầu sau,Hyundai Grand Starex Van 2.4 MT ,439000000,Hyundai,Grand Starex Van 2.4 MT ,Xăng,2.4
1205,1560,2022,Xe đã dùng,489,Nhập khẩu,SUV,Số tay,Xăng 1.5 L,Đen,Đen,7,5,RFD - Dẫn động cầu sau,Toyota Avanza Premio 1.5 MT ,489000000,Toyota,Avanza Premio 1.5 MT ,Xăng,1.5
1206,1561,2012,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda CRV 2.4 AT ,375000000,Honda,CRV 2.4 AT ,Xăng,2.4
1207,1562,2022,Xe đã dùng,5000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 Premium 2.0 AT ,820000000,Mazda,CX5 Premium 2.0 AT ,Xăng,2.0
1208,1563,2019,Xe đã dùng,58000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Premium 2.4L HTRAC ,795000000,Hyundai,SantaFe Premium 2.4L HTRAC ,Xăng,2.4
1209,1564,2016,Xe đã dùng,93098,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mazda 3 1.5 AT ,395000000,Mazda,3 1.5 AT ,Xăng,1.5
1210,1565,2021,Xe đã dùng,31000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Kia Carnival Signature 2.2D ,1260000000,Kia,Carnival Signature 2.2D ,Dầu,2.2
1211,1566,2008,Xe đã dùng,100000,Nhập khẩu,SUV,Số tự động,Xăng 4.7 L,Kem,Kem,7,5,AWD - 4 bánh toàn thời gian,Lexus GX 470 ,835000000,Lexus,GX 470 ,Xăng,4.7
1212,1567,2017,Xe đã dùng,81000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu 2.2 L,Nhiều màu,Nhiều màu,5,4,RFD - Dẫn động cầu sau,Ford Ranger XLS 2.2L 4x2 MT ,439000000,Ford,Ranger XLS 2.2L 4x2 MT ,Dầu,2.2
1213,1568,2005,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng 3.3 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Lexus RX 330 AWD ,375000000,Lexus,RX 330 AWD ,Xăng,3.3
1214,1569,2004,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.6 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C240 Avantgarde ,110000000,Mercedes,Benz C class C240 Avantgarde ,Xăng,2.6
1215,1570,2011,Xe đã dùng,140000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,4WD - Dẫn động 4 bánh,Toyota Fortuner 2.7V 4x4 AT ,325000000,Toyota,Fortuner 2.7V 4x4 AT ,Xăng,2.7
1216,1571,2023,Xe đã dùng,2800,Nhập khẩu,Crossover,Số tự động,Xăng 1.5 L,Nâu,Nâu,5,5,FWD - Dẫn động cầu trước,Mazda CX3 Premium 1.5 AT ,615000000,Mazda,CX3 Premium 1.5 AT ,Xăng,1.5
1217,1573,2019,Xe đã dùng,55000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Premium 2.2L HTRAC ,899000000,Hyundai,SantaFe Premium 2.2L HTRAC ,Dầu,2.2
1218,1574,2021,Xe đã dùng,35000,Nhập khẩu,SUV,Số tự động,Hybrid 1.8 L,Nâu,Nâu,5,5,FWD - Dẫn động cầu trước,Toyota Corolla Cross 1.8HV ,830000000,Toyota,Corolla Cross 1.8HV ,Hybrid,1.8
1219,1575,2021,Xe đã dùng,42000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.6 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Hyundai Elantra 1.6 AT ,535000000,Hyundai,Elantra 1.6 AT ,Xăng,1.6
1220,1576,2021,Xe đã dùng,46112,Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Đen,Đen,7,5,4WD - Dẫn động 4 bánh,Ford Everest Titanium 2.0L 4x4 AT ,1040000000,Ford,Everest Titanium 2.0L 4x4 AT ,Dầu,2.0
1221,1578,2021,Xe đã dùng,23000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,RFD - Dẫn động cầu sau,Mercedes Benz GLC 200 ,1430000000,Mercedes,Benz GLC 200 ,Xăng,2.0
1222,1579,2018,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 3.2 L,Nhiều màu,Nhiều màu,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Wildtrak 3.2L 4x4 AT ,610000000,Ford,Ranger Wildtrak 3.2L 4x4 AT ,Dầu,3.2
1223,1580,2019,Xe đã dùng,52000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mazda 3 1.5L Luxury ,499000000,Mazda,3 1.5L Luxury ,Xăng,1.5
1224,1581,2019,Xe đã dùng,50000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.6 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Peugeot 3008 1.6 AT ,688000000,Peugeot,3008 1.6 AT ,Xăng,1.6
1225,1583,2011,Xe đã dùng,120000,Lắp ráp trong nước,SUV,Số tay,Dầu 2.5 L,Nhiều màu,Nhiều màu,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.5G ,440000000,Toyota,Fortuner 2.5G ,Dầu,2.5
1226,1586,2018,Xe đã dùng,123456,Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Nhiều màu,Nhiều màu,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.7V 4x2 AT ,718000000,Toyota,Fortuner 2.7V 4x2 AT ,Xăng,2.7
1227,1587,2023,Xe đã dùng,5000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 Premium 2.0 AT ,865000000,Mazda,CX5 Premium 2.0 AT ,Xăng,2.0
1228,1590,2022,Xe đã dùng,9000,Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Toyota Veloz Cross Top 1.5 CVT ,645000000,Toyota,Veloz Cross Top 1.5 CVT ,Xăng,1.5
1229,1591,2023,Xe đã dùng,32000,Nhập khẩu,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,MG 5 Luxury 1.5 AT ,470000000,MG,5 Luxury 1.5 AT ,Xăng,1.5
1230,1592,2015,Xe đã dùng,93000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,BMW 5 Series 528i ,760000000,BMW,5 Series 528i ,Xăng,2.0
1231,1593,2013,Xe đã dùng,116000,Lắp ráp trong nước,SUV,Số tay,Dầu 2.5 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.5G ,468000000,Toyota,Fortuner 2.5G ,Dầu,2.5
1232,1594,2021,Xe đã dùng,1800,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Toyota Corolla altis 1.8G AT ,760000000,Toyota,Corolla altis 1.8G AT ,Xăng,1.8
1233,1595,2017,Xe đã dùng,0,Nhập khẩu,Crossover,Số tự động,Xăng 1.4 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Hyundai i20 Active 1.4 AT ,385000000,Hyundai,i20 Active 1.4 AT ,Xăng,1.4
1234,1596,2012,Xe đã dùng,120000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.8 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E250 ,455000000,Mercedes,Benz E class E250 ,Xăng,1.8
1235,1598,2018,Xe đã dùng,79000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 ,850000000,Mercedes,Benz C class C200 ,Xăng,2.0
1236,1600,2022,Xe đã dùng,35000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 AT ,455000000,Hyundai,Accent 1.4 AT ,Xăng,1.4
1237,1601,2023,Xe đã dùng,10000,Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Ford Territory Titanium 1.5 AT ,839000000,Ford,Territory Titanium 1.5 AT ,Xăng,1.5
1238,1603,2022,Xe đã dùng,12000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.4 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Kia Seltos Premium 1.4 AT ,665000000,Kia,Seltos Premium 1.4 AT ,Xăng,1.4
1239,1604,2022,Xe đã dùng,20000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Nâu,Nâu,5,5,FWD - Dẫn động cầu trước,Mazda CX5 Deluxe 2.0 AT ,735000000,Mazda,CX5 Deluxe 2.0 AT ,Xăng,2.0
1240,1606,2022,Xe đã dùng,32000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Raptor 2.0L 4x4 AT ,995000000,Ford,Ranger Raptor 2.0L 4x4 AT ,Dầu,2.0
1241,1607,2019,Xe đã dùng,25500,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Nhiều màu,Nhiều màu,7,5,RFD - Dẫn động cầu sau,VinFast Lux SA 2.0 Plus 2.0 AT ,767000000,VinFast,Lux SA 2.0 Plus 2.0 AT ,Xăng,2.0
1242,1608,2019,Xe đã dùng,30500,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.4 L,Nhiều màu,Nhiều màu,5,4,FWD - Dẫn động cầu trước,Hyundai Accent 1.4 ATH ,343000000,Hyundai,Accent 1.4 ATH ,Xăng,1.4
1243,1611,2019,Xe đã dùng,43000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Kia Sorento 2.4 GAT Deluxe ,585000000,Kia,Sorento 2.4 GAT Deluxe ,Xăng,2.4
1244,1612,2023,Xe đã dùng,43000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda City G 1.5 AT ,476000000,Honda,City G 1.5 AT ,Xăng,1.5
1245,1613,2022,Xe đã dùng,20000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 1.4 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Kia Seltos Premium 1.4 AT ,675000000,Kia,Seltos Premium 1.4 AT ,Xăng,1.4
1246,1614,2008,Xe đã dùng,70000,Nhập khẩu,Sedan,Số tự động,Xăng 4.6 L,Đen,Đen,4,4,RFD - Dẫn động cầu sau,Lexus LS 460L ,979000000,Lexus,LS 460L ,Xăng,4.6
1247,1615,2016,Xe đã dùng,120000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Chevrolet Captiva Revv LTZ 2.4 AT ,390000000,Chevrolet,Captiva Revv LTZ 2.4 AT ,Xăng,2.4
1248,1616,2022,Xe đã dùng,7000,Nhập khẩu,Hatchback,Số tự động,Xăng 2.0 L,Màu khác,Màu khác,4,3,FWD - Dẫn động cầu trước,Mini Cooper S 3 Door ,1888000000,Mini,Cooper S 3 Door ,Xăng,2.0
1249,1617,2021,Xe đã dùng,40000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Nâu,Nâu,7,5,FWD - Dẫn động cầu trước,Mazda CX8 Premium ,798000000,Mazda,CX8 Premium ,Xăng,2.5
1250,1620,2022,Xe đã dùng,30,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Mercedes Benz GLC 200 4Matic ,1899000000,Mercedes,Benz GLC 200 4Matic ,Xăng,2.0
1251,1621,2021,Xe đã dùng,40000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda City RS 1.5 AT ,485000000,Honda,City RS 1.5 AT ,Xăng,1.5
1252,1622,2010,Xe đã dùng,120000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.4 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.4G ,348000000,Toyota,Camry 2.4G ,Xăng,2.4
1253,1623,2006,Xe đã dùng,113000,Lắp ráp trong nước,SUV,Số tự động,Xăng 3.0 L,Kem,Kem,5,5,4WD - Dẫn động 4 bánh,Ford Escape XLT 3.0 AT ,140000000,Ford,Escape XLT 3.0 AT ,Xăng,3.0
1254,1624,2018,Xe đã dùng,71000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Raptor 2.0L 4x4 AT ,845000000,Ford,Ranger Raptor 2.0L 4x4 AT ,Dầu,2.0
1255,1625,2008,Xe đã dùng,80000,Nhập khẩu,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,4WD - Dẫn động 4 bánh,Hyundai SantaFe 2.7L 4WD ,295000000,Hyundai,SantaFe 2.7L 4WD ,Xăng,2.7
1256,1626,2015,Xe đã dùng,89000,Nhập khẩu,Bán tải / Pickup,Số tay,Dầu 2.2 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Ford Ranger XLS 2.2L 4x2 MT ,373000000,Ford,Ranger XLS 2.2L 4x2 MT ,Dầu,2.2
1257,1627,2022,Xe đã dùng,53000,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger XLT 2.0L 4x4 AT ,700000000,Ford,Ranger XLT 2.0L 4x4 AT ,Dầu,2.0
1258,1628,2021,Xe đã dùng,16000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.2 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda Brio RS ,420000000,Honda,Brio RS ,Xăng,1.2
1259,1630,2019,Xe đã dùng,45000,Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Hyundai Tucson 2.0 ATH ,738000000,Hyundai,Tucson 2.0 ATH ,Xăng,2.0
1260,1631,2019,Xe đã dùng,81000,Lắp ráp trong nước,Crossover,Số tay,Xăng 2.0 L,Nâu,Nâu,8,5,RFD - Dẫn động cầu sau,Toyota Innova 2.0E ,539000000,Toyota,Innova 2.0E ,Xăng,2.0
1261,1632,2014,Xe đã dùng,114000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.5 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Ford Everest 2.5L 4x2 AT ,410000000,Ford,Everest 2.5L 4x2 AT ,Dầu,2.5
1262,1633,2016,Xe đã dùng,58000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,5,5,AWD - 4 bánh toàn thời gian,Mazda CX5 2.5 AT AWD ,568000000,Mazda,CX5 2.5 AT AWD ,Xăng,2.5
1263,1636,2012,Xe đã dùng,0,Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Kem,Kem,5,5,AWD - 4 bánh toàn thời gian,Lexus RX 350 AWD ,1180000000,Lexus,RX 350 AWD ,Xăng,3.5
1264,1638,2020,Xe đã dùng,19000,Nhập khẩu,Crossover,Số tự động,Xăng 1.8 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Honda HRV L ,630000000,Honda,HRV L ,Xăng,1.8
1265,1639,2022,Xe đã dùng,0,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.4 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mitsubishi Triton 4x2 AT ,586000000,Mitsubishi,Triton 4x2 AT ,Dầu,2.4
1266,1641,2013,Xe đã dùng,89000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,BMW 3 Series 320i ,460000000,BMW,3 Series 320i ,Xăng,2.0
1267,1642,2018,Xe đã dùng,60000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.5 AT 2WD ,668000000,Mazda,CX5 2.5 AT 2WD ,Xăng,2.5
1268,1643,2021,Xe đã dùng,20000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Nâu,Nâu,7,5,RFD - Dẫn động cầu sau,VinFast Lux SA 2.0 Plus 2.0 AT ,765000000,VinFast,Lux SA 2.0 Plus 2.0 AT ,Xăng,2.0
1269,1644,2015,Xe đã dùng,17,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Honda CRV 2.4 AT ,645000000,Honda,CRV 2.4 AT ,Xăng,2.4
1270,1645,2020,Xe đã dùng,35000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mazda 6 Premium 2.0 AT ,680000000,Mazda,6 Premium 2.0 AT ,Xăng,2.0
1271,1647,2009,Xe đã dùng,67899,Nhập khẩu,Sedan,Số tự động,Xăng 4.6 L,Đen,Đen,5,4,AWD - 4 bánh toàn thời gian,Lexus LS 460 AWD ,1099000000,Lexus,LS 460 AWD ,Xăng,4.6
1272,1649,2020,Xe đã dùng,50000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.4 L,Nâu,Nâu,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Premium 2.4L HTRAC ,880000000,Hyundai,SantaFe Premium 2.4L HTRAC ,Xăng,2.4
1273,1650,2021,Xe đã dùng,51000,Lắp ráp trong nước,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Ford EcoSport Titanium 1.5 AT ,480000000,Ford,EcoSport Titanium 1.5 AT ,Xăng,1.5
1274,1651,2017,Xe đã dùng,68500,Nhập khẩu,Van/Minivan,Số tự động,Xăng 2.0 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Mercedes Benz V class V250 Avantgarde ,1630000000,Mercedes,Benz V class V250 Avantgarde ,Xăng,2.0
1275,1652,2021,Xe đã dùng,45500,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Kem,Kem,6,5,AWD - 4 bánh toàn thời gian,Kia Sorento Signature 2.2 AT AWD ,975000000,Kia,Sorento Signature 2.2 AT AWD ,Dầu,2.2
1276,1653,2018,Xe đã dùng,75689,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Mazda 3 1.5 AT ,485000000,Mazda,3 1.5 AT ,Xăng,1.5
1277,1654,2020,Xe đã dùng,23000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Vios 1.5G ,448000000,Toyota,Vios 1.5G ,Xăng,1.5
1278,1655,2022,Xe đã dùng,20000,Nhập khẩu,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.0Q ,1069000000,Toyota,Camry 2.0Q ,Xăng,2.0
1279,1656,2017,Xe đã dùng,54000,Lắp ráp trong nước,Hatchback,Số tay,Xăng 1.25 L,Ghi,Ghi,5,5,FWD - Dẫn động cầu trước,Kia Morning Si MT ,230000000,Kia,Morning Si MT ,Xăng,1.25
1280,1658,2021,Xe đã dùng,50000,Nhập khẩu,SUV,Số tự động,Dầu 2.4 L,Đen,Đen,7,5,RFD - Dẫn động cầu sau,Mitsubishi Pajero Sport 2.4D 4x2 AT ,875000000,Mitsubishi,Pajero Sport 2.4D 4x2 AT ,Dầu,2.4
1281,1659,2017,Xe đã dùng,90000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Camry 2.0E ,630000000,Toyota,Camry 2.0E ,Xăng,2.0
1282,1660,2016,Xe đã dùng,80000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.7V 4X2 AT ,515000000,Toyota,Fortuner 2.7V 4X2 AT ,Xăng,2.7
1283,1661,2020,Xe đã dùng,70796,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,AWD - 4 bánh toàn thời gian,Mercedes Benz GLC 300 4Matic ,1690000000,Mercedes,Benz GLC 300 4Matic ,Xăng,2.0
1284,1662,2019,Xe đã dùng,0,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,Mercedes Benz C class C200 Exclusive ,1060000000,Mercedes,Benz C class C200 Exclusive ,Xăng,2.0
1285,1663,2019,Xe đã dùng,0,Lắp ráp trong nước,Crossover,Số tự động,Xăng 2.0 L,Kem,Kem,5,5,FWD - Dẫn động cầu trước,Hyundai Tucson 2.0 ATH ,715000000,Hyundai,Tucson 2.0 ATH ,Xăng,2.0
1286,1664,2021,Xe đã dùng,45000,Lắp ráp trong nước,Van/Minivan,Số tự động,Dầu 2.2 L,Kem,Kem,7,5,FWD - Dẫn động cầu trước,Kia Sedona 2.2 DAT Luxury ,990000000,Kia,Sedona 2.2 DAT Luxury ,Dầu,2.2
1287,1665,2018,Xe đã dùng,47000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.0 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Mazda CX5 2.0 AT ,649000000,Mazda,CX5 2.0 AT ,Xăng,2.0
1288,1667,2022,Xe đã dùng,23000,Nhập khẩu,SUV,Số tự động,Dầu 2.0 L,Nâu,Nâu,7,5,4WD - Dẫn động 4 bánh,Ford Everest Titanium Plus 2.0L 4x4 AT ,1399000000,Ford,Everest Titanium Plus 2.0L 4x4 AT ,Dầu,2.0
1289,1668,2008,Xe đã dùng,70000,Nhập khẩu,SUV,Số tự động,Xăng 3.5 L,Đen,Đen,5,5,AWD - 4 bánh toàn thời gian,Lexus RX 350 AWD ,535000000,Lexus,RX 350 AWD ,Xăng,3.5
1290,1669,2018,Xe đã dùng,60000,Lắp ráp trong nước,Sedan,Số tay,Xăng 1.6 L,Vàng,Vàng,5,4,FWD - Dẫn động cầu trước,Kia Cerato 1.6 MT ,400000000,Kia,Cerato 1.6 MT ,Xăng,1.6
1291,1670,2023,Xe đã dùng,8900,Lắp ráp trong nước,Bán tải / Pickup,Số tự động,Dầu 2.0 L,Đen,Đen,5,4,4WD - Dẫn động 4 bánh,Ford Ranger Wildtrak 2.0L 4x4 AT ,895000000,Ford,Ranger Wildtrak 2.0L 4x4 AT ,Dầu,2.0
1292,1671,2017,Xe đã dùng,9,Nhập khẩu,SUV,Số tay,Dầu 2.4 L,Nâu,Nâu,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.4G 4x2 MT ,695000000,Toyota,Fortuner 2.4G 4x2 MT ,Dầu,2.4
1293,1674,2020,Xe đã dùng,19000,Nhập khẩu,SUV,Số tự động,Xăng 1.8 L,Đen,Đen,5,5,FWD - Dẫn động cầu trước,Toyota Corolla Cross 1.8V ,755000000,Toyota,Corolla Cross 1.8V ,Xăng,1.8
1294,1675,2020,Xe đã dùng,40000,Lắp ráp trong nước,SUV,Số tự động,Dầu 2.2 L,Đỏ,Đỏ,7,5,AWD - 4 bánh toàn thời gian,Hyundai SantaFe Premium 2.2L HTRAC ,910000000,Hyundai,SantaFe Premium 2.2L HTRAC ,Dầu,2.2
1295,1676,2022,Xe đã dùng,17000,Nhập khẩu,Hatchback,Số tự động,Xăng 1.5 L,Vàng,Vàng,5,5,FWD - Dẫn động cầu trước,Toyota Yaris G 1.5 AT ,600000000,Toyota,Yaris G 1.5 AT ,Xăng,1.5
1296,1677,2011,Xe đã dùng,140000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Kem,Kem,5,4,FWD - Dẫn động cầu trước,Toyota Corolla altis 2.0V ,385000000,Toyota,Corolla altis 2.0V ,Xăng,2.0
1297,1678,2021,Xe đã dùng,41000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 1.5 L,Đen,Đen,5,4,FWD - Dẫn động cầu trước,Honda City RS 1.5 AT ,485000000,Honda,City RS 1.5 AT ,Xăng,1.5
1298,1680,2017,Xe đã dùng,80000,Lắp ráp trong nước,Sedan,Số tự động,Xăng 2.0 L,Đen,Đen,5,4,RFD - Dẫn động cầu sau,Mercedes Benz E class E300 AMG ,1380000000,Mercedes,Benz E class E300 AMG ,Xăng,2.0
1299,1681,2013,Xe đã dùng,78000,Lắp ráp trong nước,SUV,Số tự động,Xăng 2.7 L,Kem,Kem,7,5,RFD - Dẫn động cầu sau,Toyota Fortuner 2.7V 4x2 AT ,465000000,Toyota,Fortuner 2.7V 4x2 AT ,Xăng,2.7
1300,1682,2022,Xe đã dùng,32000,Nhập khẩu,SUV,Số tự động,Xăng 1.5 L,Đen,Đen,7,5,FWD - Dẫn động cầu trước,Toyota Veloz Cross 1.5 CVT ,575000000,Toyota,Veloz Cross 1.5 CVT ,Xăng,1.5
1301,1684,2016,Xe đã dùng,120000,Nhập khẩu,Bán tải / Pickup,Số tự động,Dầu 2.5 L,Kem,Kem,5,4,RFD - Dẫn động cầu sau,Mitsubishi Triton 4x2 AT ,385000000,Mitsubishi,Triton 4x2 AT ,Dầu,2.5
